date,open_interest,funding_rate
2026-08-21 07:00:00+00:00,109798.554,5.814e-05
2026-08-21 08:00:00+00:00,110117.568,5.814e-05
2026-08-21 09:00:00+00:00,110628.747,5.814e-05
2026-08-21 10:00:00+00:00,108721.214,5.814e-05
2026-08-21 11:00:00+00:00,109261.55,5.814e-05
2026-08-21 12:00:00+00:00,107807.866,5.814e-05
2026-08-21 13:00:00+00:00,107854.796,0.0001
2026-08-21 14:00:00+00:00,107565.282,0.0001
2026-08-21 15:00:00+00:00,106979.847,0.0001
2026-08-21 16:00:00+00:00,107054.888,0.0001
2026-08-21 17:00:00+00:00,106853.17,0.0001
2026-08-21 18:00:00+00:00,106491.522,0.0001
2026-08-21 19:00:00+00:00,106375.842,0.0001
2026-08-21 20:00:00+00:00,106406.71,0.0001
2026-08-21 21:00:00+00:00,106059.501,0.0001
2026-08-21 22:00:00+00:00,106181.044,0.0001
2026-08-21 23:00:00+00:00,106353.849,0.0001
2026-08-22 00:00:00+00:00,106094.631,0.0001
2026-08-22 01:00:00+00:00,105676.605,0.0001
2026-08-22 02:00:00+00:00,105796.684,0.0001
2026-08-22 03:00:00+00:00,105976.042,0.0001
2026-08-22 04:00:00+00:00,105977.046,0.0001
2026-08-22 05:00:00+00:00,105818.577,0.0001
2026-08-22 06:00:00+00:00,105768.838,0.0001
2026-08-22 07:00:00+00:00,105440.955,0.0001
2026-08-22 08:00:00+00:00,105566.263,0.0001
2026-08-22 09:00:00+00:00,105877.331,0.0001
2026-08-22 10:00:00+00:00,106121.084,0.0001
2026-08-22 11:00:00+00:00,106449.449,0.0001
2026-08-22 12:00:00+00:00,106347.857,0.0001
2026-08-22 13:00:00+00:00,106314.508,0.0001
2026-08-22 14:00:00+00:00,106449.604,0.0001
2026-08-22 15:00:00+00:00,106424.064,0.0001
2026-08-22 16:00:00+00:00,106459.736,0.0001
2026-08-22 17:00:00+00:00,106613.279,0.0001
2026-08-22 18:00:00+00:00,106443.371,0.0001
2026-08-22 19:00:00+00:00,106399.417,0.0001
2026-08-22 20:00:00+00:00,106376.959,0.0001
2026-08-22 21:00:00+00:00,106272.73,0.0001
2026-08-22 22:00:00+00:00,105904.266,0.0001
2026-08-22 23:00:00+00:00,105824.502,0.0001
2026-08-23 00:00:00+00:00,105815.023,0.0001
2026-08-23 01:00:00+00:00,105884.316,0.0001
2026-08-23 02:00:00+00:00,106269.919,0.0001
2026-08-23 03:00:00+00:00,106268.667,0.0001
2026-08-23 04:00:00+00:00,106358.977,0.0001
2026-08-23 05:00:00+00:00,106650.556,0.0001
2026-08-23 06:00:00+00:00,107115.275,0.0001
2026-08-23 07:00:00+00:00,107149.238,0.0001
2026-08-23 08:00:00+00:00,107340.482,0.0001
2026-08-23 09:00:00+00:00,107272.122,0.0001
2026-08-23 10:00:00+00:00,107297.376,0.0001
2026-08-23 11:00:00+00:00,106839.286,0.0001
2026-08-23 12:00:00+00:00,106773.526,0.0001
2026-08-23 13:00:00+00:00,106928.172,0.0001
2026-08-23 14:00:00+00:00,106202.763,0.0001
2026-08-23 15:00:00+00:00,105776.606,0.0001
2026-08-23 16:00:00+00:00,105867.283,0.0001
2026-08-23 17:00:00+00:00,105628.947,0.0001
2026-08-23 18:00:00+00:00,105692.313,0.0001
2026-08-23 19:00:00+00:00,105936.075,0.0001
2026-08-23 20:00:00+00:00,105877.452,0.0001
2026-08-23 21:00:00+00:00,105877.59,0.0001
2026-08-23 22:00:00+00:00,105034.495,0.0001
2026-08-23 23:00:00+00:00,105122.143,0.0001
2026-08-24 00:00:00+00:00,105531.279,0.0001
2026-08-24 01:00:00+00:00,105622.464,0.0001
2026-08-24 02:00:00+00:00,105795.264,0.0001
2026-08-24 03:00:00+00:00,106332.17,0.0001
2026-08-24 04:00:00+00:00,106459.272,0.0001
2026-08-24 05:00:00+00:00,106200.127,0.0001
2026-08-24 06:00:00+00:00,106184.494,0.0001
2026-08-24 07:00:00+00:00,106558.989,0.0001
2026-08-24 08:00:00+00:00,107237.754,0.0001
2026-08-24 09:00:00+00:00,106621.175,0.0001
2026-08-24 10:00:00+00:00,106924.634,0.0001
2026-08-24 11:00:00+00:00,106985.7,0.0001
2026-08-24 12:00:00+00:00,107699.434,0.0001
2026-08-24 13:00:00+00:00,107907.212,0.0001
2026-08-24 14:00:00+00:00,107639.442,0.0001
2026-08-24 15:00:00+00:00,108537.514,0.0001
2026-08-24 16:00:00+00:00,108343.039,0.0001
2026-08-24 17:00:00+00:00,108371.66,0.0001
2026-08-24 18:00:00+00:00,108207.501,0.0001
2026-08-24 19:00:00+00:00,108720.479,0.0001
2026-08-24 20:00:00+00:00,107913.584,0.0001
2026-08-24 21:00:00+00:00,107555.416,5.818e-05
2026-08-24 22:00:00+00:00,107373.882,5.818e-05
2026-08-24 23:00:00+00:00,107254.712,5.818e-05
2026-08-25 00:00:00+00:00,107215.986,5.818e-05
2026-08-25 01:00:00+00:00,107130.64,5.818e-05
2026-08-25 02:00:00+00:00,108012.674,5.818e-05
2026-08-25 03:00:00+00:00,107115.109,5.818e-05
2026-08-25 04:00:00+00:00,107536.403,5.818e-05
2026-08-25 05:00:00+00:00,107603.258,0.0001
2026-08-25 06:00:00+00:00,107740.075,0.0001
2026-08-25 07:00:00+00:00,108525.107,0.0001
2026-08-25 08:00:00+00:00,107451.536,0.0001
2026-08-25 09:00:00+00:00,106933.936,0.0001
2026-08-25 10:00:00+00:00,106536.717,0.0001
2026-08-25 11:00:00+00:00,106760.354,0.0001
2026-08-25 12:00:00+00:00,107255.701,0.0001
2026-08-25 13:00:00+00:00,106830.48,0.0001
2026-08-25 14:00:00+00:00,108067.297,0.0001
2026-08-25 15:00:00+00:00,107946.412,0.0001
2026-08-25 16:00:00+00:00,107964.326,0.0001
2026-08-25 17:00:00+00:00,108280.867,0.0001
2026-08-25 18:00:00+00:00,108111.082,0.0001
2026-08-25 19:00:00+00:00,108072.465,0.0001
2026-08-25 20:00:00+00:00,107320.41,0.0001
2026-08-25 21:00:00+00:00,107357.723,7.734e-05
2026-08-25 22:00:00+00:00,106705.389,7.734e-05
2026-08-25 23:00:00+00:00,106495.915,7.734e-05
2026-08-26 00:00:00+00:00,106591.994,7.734e-05
2026-08-26 01:00:00+00:00,106969.657,7.734e-05
2026-08-26 02:00:00+00:00,106645.441,7.734e-05
2026-08-26 03:00:00+00:00,106027.636,7.734e-05
2026-08-26 04:00:00+00:00,105895.334,7.734e-05
2026-08-26 05:00:00+00:00,105944.166,5.927e-05
2026-08-26 06:00:00+00:00,105993.868,5.927e-05
2026-08-26 07:00:00+00:00,106059.11,5.927e-05
2026-08-26 08:00:00+00:00,105926.785,5.927e-05
2026-08-26 09:00:00+00:00,105918.075,5.927e-05
2026-08-26 10:00:00+00:00,105761.145,5.927e-05
2026-08-26 11:00:00+00:00,105332.205,5.927e-05
2026-08-26 12:00:00+00:00,105332.894,5.927e-05
2026-08-26 13:00:00+00:00,105547.898,7.091e-05
2026-08-26 14:00:00+00:00,105910.432,7.091e-05
2026-08-26 15:00:00+00:00,106271.93,7.091e-05
2026-08-26 16:00:00+00:00,106406.749,7.091e-05
2026-08-26 17:00:00+00:00,106589.355,7.091e-05
2026-08-26 18:00:00+00:00,106473.258,7.091e-05
2026-08-26 19:00:00+00:00,106366.218,7.091e-05
2026-08-26 20:00:00+00:00,106413.709,7.091e-05
2026-08-26 21:00:00+00:00,106377.263,4.595e-05
2026-08-26 22:00:00+00:00,106150.01,4.595e-05
2026-08-26 23:00:00+00:00,105817.24,4.595e-05
2026-08-27 00:00:00+00:00,105593.586,4.595e-05
2026-08-27 01:00:00+00:00,105608.156,4.595e-05
2026-08-27 02:00:00+00:00,105709.678,4.595e-05
2026-08-27 03:00:00+00:00,105704.596,4.595e-05
2026-08-27 04:00:00+00:00,106444.949,4.595e-05
2026-08-27 05:00:00+00:00,106507.388,0.0001
2026-08-27 06:00:00+00:00,106767.9,0.0001
2026-08-27 07:00:00+00:00,106335.119,0.0001
2026-08-27 08:00:00+00:00,106641.224,0.0001
2026-08-27 09:00:00+00:00,105192.74,0.0001
2026-08-27 10:00:00+00:00,105352.447,0.0001
2026-08-27 11:00:00+00:00,105393.579,0.0001
2026-08-27 12:00:00+00:00,105455.136,0.0001
2026-08-27 13:00:00+00:00,105562.796,6.331e-05
2026-08-27 14:00:00+00:00,105803.521,6.331e-05
2026-08-27 15:00:00+00:00,106313.106,6.331e-05
2026-08-27 16:00:00+00:00,107932.919,6.331e-05
2026-08-27 17:00:00+00:00,107974.628,6.331e-05
2026-08-27 18:00:00+00:00,108936.135,6.331e-05
2026-08-27 19:00:00+00:00,109172.021,6.331e-05
2026-08-27 20:00:00+00:00,108980.014,6.331e-05
2026-08-27 21:00:00+00:00,109139.255,6.578e-05
2026-08-27 22:00:00+00:00,109009.147,6.578e-05
2026-08-27 23:00:00+00:00,108773.726,6.578e-05
2026-08-28 00:00:00+00:00,108761.982,6.578e-05
2026-08-28 01:00:00+00:00,108466.559,6.578e-05
2026-08-28 02:00:00+00:00,108710.828,6.578e-05
2026-08-28 03:00:00+00:00,108652.969,6.578e-05
2026-08-28 04:00:00+00:00,109358.44,6.578e-05
2026-08-28 05:00:00+00:00,109842.228,0.0001
2026-08-28 06:00:00+00:00,109854.953,0.0001
2026-08-28 07:00:00+00:00,109868.254,0.0001
2026-08-28 08:00:00+00:00,109193.785,0.0001
2026-08-28 09:00:00+00:00,109052.481,0.0001
2026-08-28 10:00:00+00:00,108911.086,0.0001
